benchmark,formula_count,avg_length,avg_operator_count,avg_atomic_props,avg_nesting_depth,avg_temporal_ops,avg_automaton_states,avg_structural_complexity,avg_temporal_complexity,avg_automaton_complexity,avg_overall_complexity,max_overall_complexity,complexity_variance,total_time,time_per_formula,equivalence_class_time,containment_analysis_time
iprotocol.6_000,6,45.833333333333336,2.5,1.6666666666666667,2.5,0.0,2.1666666666666665,18.750000000000004,0.0,2.5666666666666664,6.394999999999999,11.459999999999999,8.822824999999998,0.0,0.0,0.0,0.0
iprotocol.7_000,6,45.833333333333336,2.5,1.6666666666666667,2.5,0.0,2.1666666666666665,18.75,0.0,2.5666666666666664,6.3950000000000005,11.459999999999999,8.822824999999996,0.0,0.0,0.0,0.0
lamport.1_000,6,40.833333333333336,3.8333333333333335,2.0,3.0,0.0,1.6666666666666667,22.75,0.0,1.9500000000000002,7.41,9.09,1.2254999999999991,0.0,0.0,0.0,0.0
lamport.2_000,6,40.833333333333336,3.8333333333333335,2.0,3.0,0.0,1.6666666666666667,22.75,0.0,1.95,7.41,9.09,1.2254999999999991,0.0,0.0,0.0,0.0
lamport.3_000,6,40.833333333333336,3.8333333333333335,2.0,3.0,0.0,1.6666666666666667,22.75,0.0,1.95,7.41,9.09,1.2254999999999991,0.0,0.0,0.0,0.0
lamport.5_000,6,45.833333333333336,4.5,2.3333333333333335,3.0,0.0,1.6666666666666667,24.916666666666668,0.0,1.95,8.06,11.04,4.059499999999997,0.0,0.0,0.0,0.0
lamport.6_000,6,45.833333333333336,4.5,2.3333333333333335,3.0,0.0,1.6666666666666667,24.916666666666668,0.0,1.9500000000000002,8.06,11.04,4.059499999999997,0.0,0.0,0.0,0.0
lamport.7_000,6,50.833333333333336,5.166666666666667,2.6666666666666665,3.0,0.0,1.6666666666666667,27.083333333333332,0.0,1.9500000000000002,8.709999999999999,12.99,8.583499999999999,0.0,0.0,0.0,0.0
lamport.8_000,6,50.833333333333336,5.166666666666667,2.6666666666666665,3.0,0.0,1.6666666666666667,27.083333333333332,0.0,1.95,8.709999999999999,12.99,8.583499999999999,0.0,0.0,0.0,0.0
lamport_nonatomic.1_000,6,40.833333333333336,3.8333333333333335,2.0,3.0,0.0,1.6666666666666667,22.75,0.0,1.95,7.41,9.09,1.2254999999999991,0.0,0.0,0.0,0.0
lamport_nonatomic.2_000,6,40.833333333333336,3.8333333333333335,2.0,3.0,0.0,1.6666666666666667,22.75,0.0,1.95,7.41,9.09,1.2254999999999991,0.0,0.0,0.0,0.0
lamport_nonatomic.3_000,6,40.833333333333336,3.8333333333333335,2.0,3.0,0.0,1.6666666666666667,22.75,0.0,1.95,7.41,9.09,1.2254999999999991,0.0,0.0,0.0,0.0
lamport_nonatomic.4_000,6,45.833333333333336,4.5,2.3333333333333335,3.0,0.0,1.6666666666666667,24.916666666666668,0.0,1.95,8.06,11.04,4.059499999999997,0.0,0.0,0.0,0.0
lamport_nonatomic.5_000,6,50.833333333333336,5.166666666666667,2.6666666666666665,3.0,0.0,1.6666666666666667,27.083333333333332,0.0,1.9499999999999995,8.709999999999999,12.99,8.583499999999999,0.0,0.0,0.0,0.0
lann.1_000,4,34.5,3.5,2.0,2.5,0.0,1.5,19.950000000000003,0.0,1.75,6.51,9.09,5.927399999999998,0.0,0.0,0.0,0.0
lann.2_000,4,42.0,4.5,2.5,2.5,0.0,1.5,23.200000000000003,0.0,1.75,7.484999999999999,11.04,11.616524999999994,0.0,0.0,0.0,0.0
lann.3_000,4,42.0,4.5,2.5,2.5,0.0,1.5,23.200000000000003,0.0,1.75,7.484999999999999,11.04,11.616524999999996,0.0,0.0,0.0,0.0
lann.4_000,4,49.5,5.5,3.0,2.5,0.0,1.5,26.45,0.0,1.75,8.46,12.99,19.2069,0.0,0.0,0.0,0.0
lann.5_000,4,57.0,6.5,3.5,2.5,0.0,1.5,29.7,0.0,1.7499999999999998,9.435,14.94,28.698524999999997,0.0,0.0,0.0,0.0
lann.6_000,4,42.0,4.5,2.5,2.5,0.0,1.5,23.200000000000003,0.0,1.75,7.484999999999999,11.04,11.616524999999996,0.0,0.0,0.0,0.0
lann.7_000,4,49.5,5.5,3.0,2.5,0.0,1.5,26.450000000000003,0.0,1.75,8.46,12.99,19.2069,0.0,0.0,0.0,0.0
leader-election.3_000,633,169.04897314375987,13.796208530805687,5.545023696682464,5.071090047393365,4.644549763033176,16.372827804107423,65.25560821484993,51.07977883096366,23.784834123222748,47.144044233807264,179.62,377.18726642458364,0.0,0.0,0.0,0.0
leader_filters.1_000,2,63.5,5.5,3.0,3.0,0.0,1.5,29.35,0.0,1.7,9.315,9.809999999999999,0.24502499999999922,0.0,0.0,0.0,0.0
leader_filters.2_000,2,63.5,5.5,3.0,3.0,0.0,1.5,29.35,0.0,1.7,9.315,9.809999999999999,0.24502499999999922,0.0,0.0,0.0,0.0
leader_filters.3_000,2,83.5,7.5,4.0,3.0,0.0,1.5,36.349999999999994,0.0,1.7,11.415,11.909999999999998,0.2450250000000001,0.0,0.0,0.0,0.0
leader_filters.4_000,2,83.5,7.5,4.0,3.0,0.0,1.5,36.349999999999994,0.0,1.7,11.415,11.909999999999998,0.2450250000000001,0.0,0.0,0.0,0.0
leader_filters.5_000,2,103.5,9.5,5.0,3.0,0.0,1.5,43.349999999999994,0.0,1.7,13.514999999999999,14.009999999999998,0.24502499999999922,0.0,0.0,0.0,0.0
leader_filters.6_000,2,103.5,9.5,5.0,3.0,0.0,1.5,43.349999999999994,0.0,1.7,13.514999999999999,14.009999999999998,0.24502499999999922,0.0,0.0,0.0,0.0
leader_filters.7_000,2,123.5,11.5,6.0,3.0,0.0,1.5,50.349999999999994,0.0,1.7,15.614999999999998,16.11,0.2450250000000001,0.0,0.0,0.0,0.0
mcs.1_000,6,61.5,6.5,3.3333333333333335,3.3333333333333335,0.0,1.6666666666666667,32.483333333333334,0.0,1.95,10.33,15.659999999999998,13.372699999999996,0.0,0.0,0.0,0.0
mcs.2_000,6,61.5,6.5,3.3333333333333335,3.3333333333333335,0.0,1.6666666666666667,32.483333333333334,0.0,1.95,10.33,15.659999999999998,13.372699999999996,0.0,0.0,0.0,0.0
mcs.3_000,6,66.5,7.166666666666667,3.6666666666666665,3.3333333333333335,0.0,1.6666666666666667,34.65,0.0,1.95,10.979999999999999,15.659999999999998,12.410699999999999,0.0,0.0,0.0,0.0
mcs.4_000,6,66.5,7.166666666666667,3.6666666666666665,3.3333333333333335,0.0,1.6666666666666667,34.65,0.0,1.95,10.979999999999999,15.659999999999998,12.410699999999997,0.0,0.0,0.0,0.0
mcs.5_000,6,71.5,7.833333333333333,4.0,3.3333333333333335,0.0,1.6666666666666667,36.81666666666666,0.0,1.95,11.63,15.659999999999998,13.138699999999995,0.0,0.0,0.0,0.0
mcs.6_000,6,71.5,7.833333333333333,4.0,3.3333333333333335,0.0,1.6666666666666667,36.81666666666666,0.0,1.95,11.63,15.659999999999998,13.138699999999995,0.0,0.0,0.0,0.0
peterson.1_000,9,55.111111111111114,5.333333333333333,2.5555555555555554,3.3333333333333335,0.0,2.0,28.733333333333334,0.0,2.3555555555555556,9.326666666666666,14.82,6.7866888888888885,0.0,0.0,0.0,0.0
peterson.2_000,9,55.111111111111114,5.333333333333333,2.5555555555555554,3.3333333333333335,0.0,2.0,28.733333333333334,0.0,2.3555555555555556,9.326666666666666,14.82,6.7866888888888885,0.0,0.0,0.0,0.0
peterson.3_000,9,55.111111111111114,5.333333333333333,2.5555555555555554,3.3333333333333335,0.0,2.0,28.733333333333334,0.0,2.355555555555555,9.326666666666666,14.82,6.7866888888888885,0.0,0.0,0.0,0.0
peterson.4_000,9,69.11111111111111,7.111111111111111,2.888888888888889,3.3333333333333335,0.0,2.0,34.02222222222222,0.0,2.3555555555555556,10.913333333333334,25.200000000000003,29.421955555555567,0.0,0.0,0.0,0.0
peterson.5_000,9,69.11111111111111,7.111111111111111,2.888888888888889,3.3333333333333335,0.0,2.0,34.02222222222222,0.0,2.355555555555555,10.913333333333334,25.200000000000003,29.421955555555567,0.0,0.0,0.0,0.0
peterson.6_000,8,69.5,7.0,2.75,3.375,0.0,2.125,33.825,0.0,2.5,10.897499999999999,25.200000000000003,33.09744375000001,0.0,0.0,0.0,0.0
peterson.7_000,8,87.375,9.25,3.0,3.375,0.0,2.125,40.3625,0.0,2.5,12.858749999999999,38.94,102.37701093749997,0.0,0.0,0.0,0.0
phils.1_000,6,49.833333333333336,3.8333333333333335,2.3333333333333335,2.6666666666666665,0.0,1.5,22.983333333333334,0.0,1.75,7.419999999999999,11.52,8.857099999999997,0.0,0.0,0.0,0.0
phils.2_000,6,56.166666666666664,4.5,2.6666666666666665,2.6666666666666665,0.0,1.5,25.283333333333335,0.0,1.7499999999999998,8.11,13.59,15.260299999999996,0.0,0.0,0.0,0.0
phils.3_000,6,62.5,5.166666666666667,3.0,2.6666666666666665,0.0,1.5,27.583333333333332,0.0,1.75,8.799999999999999,15.659999999999998,23.56789999999999,0.0,0.0,0.0,0.0
phils.4_000,6,81.5,7.166666666666667,4.0,2.6666666666666665,0.0,1.5,34.483333333333334,0.0,1.75,10.87,21.87,59.917100000000005,0.0,0.0,0.0,0.0
phils.5_000,6,101.16666666666667,9.166666666666666,5.0,2.6666666666666665,0.0,1.5,41.449999999999996,0.0,1.75,12.959999999999999,28.139999999999997,114.0063,0.0,0.0,0.0,0.0
phils.6_000,6,121.16666666666667,11.166666666666666,6.0,2.6666666666666665,0.0,1.5,48.45000000000001,0.0,1.7499999999999998,15.059999999999997,34.44,185.95229999999995,0.0,0.0,0.0,0.0
phils.7_000,6,107.83333333333333,9.833333333333334,5.333333333333333,2.6666666666666665,0.0,1.5,43.78333333333333,0.0,1.75,13.660000000000002,30.239999999999995,136.02829999999997,0.0,0.0,0.0,0.0
phils.8_000,6,127.83333333333333,11.833333333333334,6.333333333333333,2.6666666666666665,0.0,1.5,50.78333333333333,0.0,1.7499999999999998,15.76,36.54,213.85429999999997,0.0,0.0,0.0,0.0
production-cell.3_000,452,182.6283185840708,11.743362831858407,4.902654867256637,4.741150442477876,3.6194690265486726,13.055309734513274,60.87566371681417,39.150442477876105,18.85663716814159,39.57986725663717,155.76000000000002,366.2541234337066,0.0,0.0,0.0,0.0
protocols.1_000,6,88.83333333333333,5.166666666666667,3.0,3.5,0.6666666666666666,2.3333333333333335,32.71666666666667,8.666666666666666,2.7833333333333337,14.116666666666667,28.72,85.5464888888889,0.0,0.0,0.0,0.0
protocols.2_000,6,88.83333333333333,5.166666666666667,3.0,3.5,0.6666666666666666,2.3333333333333335,32.71666666666667,8.666666666666666,2.783333333333333,14.116666666666667,28.72,85.54648888888887,0.0,0.0,0.0,0.0
protocols.3_000,6,88.83333333333333,5.166666666666667,3.0,3.5,0.6666666666666666,2.3333333333333335,32.71666666666667,8.666666666666666,2.783333333333333,14.116666666666667,28.72,85.5464888888889,0.0,0.0,0.0,0.0
protocols.4_000,6,88.83333333333333,5.166666666666667,3.0,3.5,0.6666666666666666,2.3333333333333335,32.71666666666666,8.666666666666666,2.7833333333333337,14.116666666666667,28.72,85.54648888888887,0.0,0.0,0.0,0.0
protocols.5_000,6,88.83333333333333,5.166666666666667,3.0,3.5,0.6666666666666666,2.3333333333333335,32.71666666666667,8.666666666666666,2.783333333333333,14.116666666666665,28.72,85.54648888888887,0.0,0.0,0.0,0.0
public_subscribe.1_000,6,125.5,7.833333333333333,3.3333333333333335,4.5,0.6666666666666666,2.1666666666666665,45.050000000000004,10.0,2.583333333333333,18.29,35.42,124.44373333333333,0.0,0.0,0.0,0.0
public_subscribe.2_000,6,125.5,7.833333333333333,3.3333333333333335,4.5,0.6666666666666666,2.1666666666666665,45.050000000000004,10.0,2.583333333333333,18.29,35.42,124.44373333333333,0.0,0.0,0.0,0.0
public_subscribe.3_000,6,125.5,7.833333333333333,3.3333333333333335,4.5,0.6666666666666666,2.1666666666666665,45.050000000000004,10.0,2.5833333333333335,18.29,35.42,124.44373333333334,0.0,0.0,0.0,0.0
public_subscribe.4_000,6,125.5,7.833333333333333,3.3333333333333335,4.5,0.6666666666666666,2.1666666666666665,45.050000000000004,10.0,2.5833333333333335,18.290000000000003,35.42,124.44373333333334,0.0,0.0,0.0,0.0
public_subscribe.5_000,5,133.4,8.4,3.4,4.6,0.8,2.2,47.339999999999996,12.0,2.6199999999999997,19.788,35.42,135.868456,0.0,0.0,0.0,0.0
rether.1_000,10,89.7,5.7,2.2,4.4,1.4,2.9,35.769999999999996,24.0,3.5300000000000002,21.39,41.64,283.92911999999995,0.0,0.0,0.0,0.0
rether.2_000,10,89.7,5.7,2.2,4.4,1.4,2.9,35.77,24.0,3.53,21.389999999999997,41.64,283.92912,0.0,0.0,0.0,0.0
rether.3_000,10,89.7,5.7,2.2,4.4,1.4,2.9,35.769999999999996,24.0,3.53,21.390000000000004,41.64,283.92912,0.0,0.0,0.0,0.0
rether.4_000,10,89.7,5.7,2.2,4.4,1.4,2.9,35.77,24.0,3.5300000000000002,21.39,41.64,283.92911999999995,0.0,0.0,0.0,0.0
rether.5_000,10,89.7,5.7,2.2,4.4,1.4,2.9,35.77,24.0,3.53,21.390000000000004,41.64,283.92911999999995,0.0,0.0,0.0,0.0
rether.6_000,10,89.7,5.7,2.2,4.4,1.4,2.9,35.77,24.0,3.53,21.39,41.64,283.92912,0.0,0.0,0.0,0.0
rether.7_000,10,89.7,5.7,2.2,4.4,1.4,2.9,35.769999999999996,24.0,3.5300000000000002,21.389999999999997,41.64,283.92912,0.0,0.0,0.0,0.0
szymanski.1_000,5,41.6,3.8,2.2,3.0,0.0,1.8,22.96,0.0,2.1,7.518000000000001,9.09,1.4006159999999992,0.0,0.0,0.0,0.0
szymanski.2_000,5,41.6,3.8,2.2,3.0,0.0,1.8,22.959999999999997,0.0,2.0999999999999996,7.518000000000001,9.09,1.400615999999999,0.0,0.0,0.0,0.0
szymanski.3_000,5,47.6,4.6,2.6,3.0,0.0,1.8,25.560000000000002,0.0,2.1,8.297999999999998,11.04,4.531535999999997,0.0,0.0,0.0,0.0
szymanski.4_000,5,47.6,4.6,2.6,3.0,0.0,1.8,25.560000000000002,0.0,2.1,8.297999999999998,11.04,4.531535999999997,0.0,0.0,0.0,0.0
szymanski.5_000,5,53.6,5.4,3.0,3.0,0.0,1.8,28.160000000000004,0.0,2.1,9.078,12.99,9.487655999999998,0.0,0.0,0.0,0.0
