Benchmark,Num Properties,Total Elapsed Time (seconds),Average Elapsed Time (seconds),Timeouts
adding.4_000,168,2114.2195764877833,12.584640336236806,0
anderson.1_000,3,1.7035180709790438,0.5678393569930146,0
anderson.2_000,3,0.037133333971723914,0.012377777990574637,0
anderson.3_000,3,1373.508956292062,457.8363187640207,0
anderson.4_000,3,0.19208708289079368,0.06402902763026457,0
anderson.5_000,5,5000.0,1000.0,5
anderson.6_000,3,246.79535560996737,82.26511853665579,0
anderson.7_000,4,4000.0,1000.0,4
anderson.8_000,3,3000.0,1000.0,3
at.1_000,3,0.28293023991864175,0.09431007997288059,0
at.2_000,3,0.28925072494894266,0.09641690831631422,0
at.3_000,3,16.50460179883521,5.50153393294507,0
at.4_000,3,74.88093412609305,24.960311375364352,0
at.5_000,1,98.1567863119999,98.1567863119999,0
at.6_000,3,2212.0839790849714,737.3613263616571,1
at.7_000,4,4000.0,1000.0,4
bakery.1_000,3,0.0869581209262833,0.0289860403087611,0
bakery.2_000,3,0.03151688794605434,0.010505629315351447,0
bakery.3_000,3,0.19204350793734193,0.06401450264578064,0
bakery.4_000,3,0.9047589299734682,0.30158630999115604,0
bakery.5_000,3,75.93629658292048,25.312098860973492,0
bakery.6_000,3,115.21817446791101,38.406058155970335,0
bakery.7_000,3,321.93022688897327,107.31007562965776,0
bakery.8_000,3,2968.830403535976,989.610134511992,2
bopdp.1_000,8,4000.1040420579957,500.01300525724946,4
bopdp.2_000,8,4000.176730377949,500.0220912972436,4
bopdp.3_000,8,4008.564492153004,501.0705615191255,4
bridge.3_000,345,1601.629150229739,4.642403333999243,0
brp.1_000,4,0.14234103891067207,0.03558525972766802,0
brp.2_000,4,0.21008762915153056,0.05252190728788264,0
brp.3_000,4,10.217845437931828,2.554461359482957,0
brp.4_000,54,3050.8142324751243,56.49655986065045,0
brp.4_001,4,146.24458885996137,36.56114721499034,0
brp.5_000,4,221.190864139935,55.29771603498375,0
brp.6_000,4,576.371606515022,144.0929016287555,0
collision.4_000,25,15669.861164573114,626.7944465829246,14
cyclic_scheduler.3_000,323,68807.1580325301,213.02525706665668,68
driving_phils.1_000,2,0.048465398023836315,0.024232699011918157,0
driving_phils.2_000,2,0.1053636190481484,0.0526818095240742,0
driving_phils.3_000,2,2000.0,1000.0,2
driving_phils.4_000,2,2000.0,1000.0,2
driving_phils.5_000,2,2000.0,1000.0,2
elevator.1_000,4,0.13360044115688652,0.03340011028922163,0
elevator.2_000,4,0.05401714285835624,0.01350428571458906,0
elevator.3_000,4,3.666188013856299,0.9165470034640748,0
elevator.4_000,271,1647.4220824326621,6.07904827465927,0
elevator.4_001,4,9.358561940840445,2.3396404852101114,0
elevator.5_000,4,3297.6238893660484,824.4059723415121,1
elevator2.1_000,5,0.06945169682148844,0.013890339364297687,0
elevator2.2_000,5,3.5613184380345047,0.712263687606901,0
elevator2.3_000,50,2343.2910757469945,46.86582151493989,0
elevator2.3_001,6,257.16594872204587,42.86099145367431,0
exit.3_000,219,3681.714342555497,16.811481016235145,0
extinction.1_000,1,0.023023947956971824,0.023023947956971824,0
extinction.2_000,2,0.05197806202340871,0.025989031011704355,0
extinction.3_000,2,3.9334403870161623,1.9667201935080811,0
extinction.4_000,2,10.60537619900424,5.30268809950212,0
fischer.1_000,3,0.028214766178280115,0.009404922059426704,0
fischer.2_000,3,0.13919890008401126,0.04639963336133709,0
fischer.3_000,3,35.73093548906036,11.910311829686785,0
fischer.4_000,3,13.294584093964659,4.431528031321553,0
fischer.5_000,3,1742.9355292150285,580.9785097383428,0
fischer.6_000,3,105.13361804001033,35.04453934667011,0
fischer.7_000,4,4000.0,1000.0,4
iprotocol.1_000,3,0.14724397799000144,0.04908132599666715,0
iprotocol.2_000,3,0.3297044381033629,0.10990147936778764,0
iprotocol.3_000,3,14.747016387060285,4.915672129020095,0
iprotocol.4_000,3,52.44603033014573,17.482010110048577,0
iprotocol.5_000,3,582.9282552730292,194.30941842434308,0
iprotocol.6_000,3,773.1473034779774,257.7157678259925,0
iprotocol.7_000,3,1187.7288416258525,395.90961387528415,0
lamport.1_000,3,0.16700787306763232,0.05566929102254411,0
lamport.2_000,3,0.6335004750872031,0.2111668250290677,0
lamport.3_000,3,0.20648941188119352,0.06882980396039784,0
lamport.5_000,3,9.695080343983136,3.231693447994379,0
lamport.6_000,3,99.39999231987167,33.13333077329056,0
lamport.7_000,3,528.5722955961246,176.1907651987082,0
lamport.8_000,3,936.2099351839861,312.06997839466203,0
lamport_nonatomic.1_000,3,0.13815261097624898,0.046050870325416327,0
lamport_nonatomic.2_000,3,0.10267449507955462,0.034224831693184875,0
lamport_nonatomic.3_000,3,0.24036934110336006,0.08012311370112002,0
lamport_nonatomic.4_000,3,13.365852693095803,4.455284231031935,0
lamport_nonatomic.5_000,3,1819.3825922419783,606.4608640806595,1
lann.1_000,2,2000.0,1000.0,2
lann.2_000,2,2000.0,1000.0,2
lann.3_000,2,2000.0,1000.0,2
lann.4_000,2,2000.0,1000.0,2
lann.5_000,2,2000.0,1000.0,2
lann.6_000,2,2000.0,1000.0,2
lann.7_000,2,2000.0,1000.0,2
leader-election.3_000,409,775.2532444677781,1.895484705300191,0
leader_filters.1_000,2,0.026749226031824946,0.013374613015912473,0
leader_filters.2_000,2,0.08318127901293337,0.04159063950646669,0
leader_filters.3_000,2,0.2469882289879024,0.1234941144939512,0
leader_filters.4_000,2,0.13944670313503593,0.06972335156751797,0
leader_filters.5_000,2,6.55782210896723,3.278911054483615,0
leader_filters.6_000,2,1505.8679655020824,752.9339827510412,0
leader_filters.7_000,2,143.95553471590392,71.97776735795196,0
mcs.1_000,3,0.06703529390506446,0.02234509796835482,0
mcs.2_000,3,0.03380370885133743,0.01126790295044581,0
mcs.3_000,3,5.8661818041000515,1.955393934700017,0
mcs.4_000,3,0.12259773211553693,0.040865910705178976,0
mcs.5_000,3,1054.8391816568328,351.6130605522776,0
mcs.6_000,3,2.9030079368967563,0.9676693122989187,0
peterson.1_000,3,0.08394409704487771,0.027981365681625903,0
peterson.2_000,3,0.7712251959601417,0.25707506532004726,0
peterson.3_000,3,1.113292018068023,0.3710973393560077,0
peterson.4_000,3,10.095076279947534,3.365025426649178,0
peterson.5_000,3,1938.9152432010742,646.3050810670247,1
peterson.6_000,3,2389.80745781702,796.6024859390067,1
peterson.7_000,3,2034.728573372122,678.2428577907073,1
phils.1_000,3,0.02070669224485755,0.00690223074828585,0
phils.2_000,3,0.03910638298839331,0.013035460996131102,0
phils.3_000,3,0.03586467413697392,0.011954891378991306,0
phils.4_000,3,5.085453981999308,1.6951513273331027,0
phils.5_000,3,7.640407023020089,2.5468023410066962,0
phils.6_000,3,331.1341185941128,110.37803953137093,0
phils.7_000,3,2107.261948505882,702.4206495019607,1
phils.8_000,3,1143.9059965260094,381.3019988420031,0
protocols.1_000,4,0.06212448491714895,0.015531121229287237,0
protocols.2_000,4,0.10261425690259784,0.02565356422564946,0
protocols.3_000,4,0.05110089690424502,0.012775224226061255,0
protocols.4_000,4,3.6297174039063975,0.9074293509765994,0
protocols.5_000,4,9.056105461902916,2.264026365475729,0
public_subscribe.1_000,6,2000.0385055430233,333.33975092383724,2
public_subscribe.2_000,6,2020.561112225987,336.7601853709978,2
public_subscribe.3_000,6,2020.9155548888957,336.8192591481493,2
public_subscribe.4_000,6,2021.2064413311891,336.86774022186484,2
public_subscribe.5_000,5,5000.0,1000.0,5
rether.1_000,8,0.12847551493905485,0.016059439367381856,0
rether.2_000,8,0.15809079504106194,0.019761349380132742,0
rether.3_000,8,4.023542250040919,0.5029427812551148,0
rether.4_000,8,20.72262221481651,2.590327776852064,0
rether.5_000,8,59.84256002900656,7.48032000362582,0
rether.6_000,8,126.28563637600746,15.785704547000933,0
rether.7_000,8,95.13294053310528,11.89161756663816,0
szymanski.1_000,4,0.177843876183033,0.04446096904575825,0
szymanski.2_000,4,0.27092364989221096,0.06773091247305274,0
szymanski.3_000,4,15.055683687096462,3.7639209217741154,0
szymanski.4_000,4,33.46578880620655,8.366447201551637,0
szymanski.5_000,4,1657.0849217918003,414.2712304479501,0